CalendarDate,HolidayNameHebrew
2013-01-01,ראש השנה האזרחית
2013-01-05,ערב חג ההתגלות
2013-01-06,חג ההתגלות
2013-01-24,ערב נבי אלח'אדר (חג הנביא אליהו)
2013-01-25,נבי אלח'אדר (חג הנביא אליהו)
2013-01-26,טו בשבט
2013-02-21,תענית אסתר
2013-02-24,פורים
2013-02-25,שושן פורים
2013-03-25,ערב פסח
2013-03-26,פסח
2013-03-27,חול המועד פסח
2013-03-28,חול המועד פסח
2013-03-29,חול המועד פסח
2013-03-30,חול המועד פסח
2013-03-31,חול המועד פסח
2013-04-01,חג שביעי של פסח
2013-04-02,איסרו חג פסח (מימונה)
2013-04-08,יום הזכרון לשואה ולגבורה
2013-04-15,יום הזכרון
2013-04-16,יום העצמאות
2013-04-24,ערב חג הנביא שועייב
2013-04-25,חג הנביא שועייב
2013-04-26,חג הנביא שועייב
2013-04-27,ערב לג בעומר
2013-04-28,לג בעומר
2013-05-08,יום ירושלים
2013-05-09,העלייה השמיימה
2013-05-14,ערב שבועות
2013-05-15,שבועות
2013-05-16,איסרו חג שבועות
2013-06-06,לילת אלסאראא ולמעראג (עלית הנביא השמיימה)
2013-06-25,יז תמוז
2013-07-06,צעדת הנביא אבו אברהים
2013-07-09,רמדאן
2013-07-10,רמדאן
2013-07-11,רמדאן
2013-07-12,רמדאן
2013-07-13,רמדאן
2013-07-14,רמדאן
2013-07-15,ערב ט באב
2013-07-16,ט אב
2013-07-17,רמדאן
2013-07-18,רמדאן
2013-07-19,רמדאן
2013-07-20,רמדאן
2013-07-21,רמדאן
2013-07-22,טו באב
2013-07-23,רמדאן
2013-07-24,רמדאן
2013-07-25,רמדאן
2013-07-26,רמדאן
2013-07-27,רמדאן
2013-07-28,רמדאן
2013-07-29,רמדאן
2013-07-30,רמדאן
2013-07-31,רמדאן
2013-08-01,רמדאן
2013-08-02,רמדאן
2013-08-03,רמדאן
2013-08-04,רמדאן
2013-08-05,רמדאן
2013-08-06,רמדאן
2013-08-07,ערב איד אל פיטר
2013-08-08,עיד אל פיטר
2013-08-09,עיד אל פיטר
2013-08-10,עיד אל פיטר
2013-08-25,חג הנביא אל יעפורי
2013-09-04,ערב ראש השנה
2013-09-05,ראש השנה
2013-09-06,ראש השנה
2013-09-08,צום גדליה
2013-09-09,ערב חג נבי סבלאן
2013-09-10,חג נבי סבלאן
2013-09-13,ערב יום כיפור
2013-09-14,יום כיפור
2013-09-18,ערב סוכות
2013-09-19,סוכות
2013-09-20,חול המועד סוכות
2013-09-21,חול המועד סוכות
2013-09-22,חול המועד סוכות
2013-09-23,חול המועד סוכות
2013-09-24,חול המועד סוכות
2013-09-25,חול המועד סוכות
2013-09-26,שמיני עצרת (שמחת תורה)
2013-09-27,איסרו חג סוכות
2013-10-14,ערב עיד אלאדחא (חג הקורבן)
