Date,HolidayName,IsHoliday,IsHolidayEve
18/09/2020,Rosh Hashana Eve,0,1
19/09/2020,Rosh Hashana I,1,0
20/09/2020,Rosh Hashana II,1,0
27/09/2020,Yom Kippur Eve,0,1
28/09/2020,Yom Kippur,1,0
02/10/2020,Sukkot Eve,0,1
03/10/2020,Sukkot I,1,0
09/10/2020,Hoshana Rabba,1,0
10/10/2020,Simchat Torah,1,0
25/02/2021,Purim Eve,0,1
26/02/2021,Purim,1,0
27/03/2021,Passover Eve,0,1
28/03/2021,Passover I,1,0
29/03/2021,Passover II,1,0
03/04/2021,Passover VII,1,0
04/04/2021,Passover VIII,1,0
14/04/2021,Independence Day Eve,0,1
15/04/2021,Independence Day,1,0
16/05/2021,Shavuot Eve,0,1
17/05/2021,Shavuot I,1,0
18/05/2021,Shavuot II,1,0
31/10/2021,Municipal Elections,1,0
06/09/2021,Rosh Hashana Eve,0,1
07/09/2021,Rosh Hashana I,1,0
08/09/2021,Rosh Hashana II,1,0
15/09/2021,Yom Kippur Eve,0,1
16/09/2021,Yom Kippur,1,0
20/09/2021,Sukkot Eve,0,1
21/09/2021,Sukkot I,1,0
27/09/2021,Hoshana Rabba,1,0
28/09/2021,Simchat Torah,1,0
16/03/2022,Purim Eve,0,1
17/03/2022,Purim,1,0
15/04/2022,Passover Eve,0,1
16/04/2022,Passover I,1,0
17/04/2022,Passover II,1,0
21/04/2022,Passover VII,1,0
22/04/2022,Passover VIII,1,0
04/05/2022,Independence Day Eve,0,1
05/05/2022,Independence Day,1,0
04/06/2022,Shavuot Eve,0,1
05/06/2022,Shavuot I,1,0
06/06/2022,Shavuot II,1,0
01/11/2022,Knesset Elections,1,0
25/09/2022,Rosh Hashana Eve,0,1
26/09/2022,Rosh Hashana I,1,0
27/09/2022,Rosh Hashana II,1,0
04/10/2022,Yom Kippur Eve,0,1
05/10/2022,Yom Kippur,1,0
09/10/2022,Sukkot Eve,0,1
10/10/2022,Sukkot I,1,0
16/10/2022,Hoshana Rabba,1,0
17/10/2022,Simchat Torah,1,0
06/03/2023,Purim Eve,0,1
07/03/2023,Purim,1,0
05/04/2023,Passover Eve,0,1
06/04/2023,Passover I,1,0
07/04/2023,Passover II,1,0
11/04/2023,Passover VII,1,0
12/04/2023,Passover VIII,1,0
24/04/2023,Independence Day Eve,0,1
25/04/2023,Independence Day,1,0
25/05/2023,Shavuot Eve,0,1
26/05/2023,Shavuot I,1,0
27/05/2023,Shavuot II,1,0
31/10/2023,Municipal Elections,1,0
15/09/2023,Rosh Hashana Eve,0,1
16/09/2023,Rosh Hashana I,1,0
17/09/2023,Rosh Hashana II,1,0
24/09/2023,Yom Kippur Eve,0,1
25/09/2023,Yom Kippur,1,0
29/09/2023,Sukkot Eve,0,1
30/09/2023,Sukkot I,1,0
06/10/2023,Hoshana Rabba,1,0
07/10/2023,Simchat Torah,1,0
23/03/2024,Purim Eve,0,1
24/03/2024,Purim,1,0
22/04/2024,Passover Eve,0,1
